baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC004784.1,31.8438723578029,1.75044432790379,0.482916879020609,3.62473213082511,0.000289261107919611,0.000783083069900396
AC004801.2,55.2231966604392,-0.34120029023794,0.139398670166279,-2.44765814358878,0.0143788009117726,0.0290553494514987
AC004801.6,1.33224982243993,-2.21261743661413,0.871941133417099,-2.53757662279675,0.0111622930151055,0.0231103545107936
AC004812.1,1.32542047750742,-2.50670830987886,0.863256622945035,-2.90378115064687,0.0036868577653769,0.00837086043912216
AC004812.2,98.0505971469219,0.462252340496101,0.142429638930513,3.24547856729188,0.00117253390462567,0.00289629341983913
AC004816.1,9.98824219101178,-2.02204984647977,0.376689509828339,-5.36794838646088,7.96373347176436e-08,3.18473880067099e-07
AC004816.2,1.06534563215226,-3.27577391631841,1.08211457289162,-3.02719693309823,0.00246833090993855,0.00578674662152236
AC004832.4,8.66206066051892,1.66373308957034,0.40091012641501,4.14989041171811,3.32634489813283e-05,0.000100908094465909
AC004832.5,47.3582790826771,-0.818758074051001,0.235436151570356,-3.4776225681141,0.000505881704596425,0.00132192476387228
AC004834.1,33.7248363452903,1.73241761816273,0.309227698852556,5.60240115808244,2.11402590892566e-08,8.86793027568218e-08
AC004846.2,19.8254591642546,-0.863818972176183,0.324704373056959,-2.66032441769626,0.00780654181821817,0.0166836209774614
AC004847.1,1.81193607842309,-2.45395656326238,0.826616214213098,-2.96867702455902,0.00299084772700253,0.00690623599059728
AC004852.2,561.805952241984,-6.84837472081641,0.311039345881767,-22.0177119438119,1.9485675205445e-107,1.54803373561563e-105
AC004852.3,144.492461817146,-6.90331173787727,0.431509536035776,-15.9980514018233,1.31837239409152e-57,3.44531931223731e-56
AC004853.1,1.0047806536058,-3.17471483931534,1.39416693557227,-2.27714110721769,0.0227778006195197,0.0440778117903176
AC004858.1,30.3825104931938,2.73800192313372,0.285266719033741,9.59804190410966,8.14775304550189e-22,7.24330526140931e-21
AC004862.1,2.10077544648953,-1.94106255169289,0.836356598673862,-2.32085518876836,0.0202946607440974,0.0397117989034452
AC004870.3,0.839396732260883,-2.8633908172988,1.12148833099336,-2.55320607282873,0.0106736324573446,0.0221938986506825
AC004872.1,1.66769060854051,-3.93348913488368,1.02155854313767,-3.85047842955935,0.000117887313040808,0.000334905110434147
AC004877.2,58.3138529823924,0.459637730531244,0.201594502075326,2.28001123939134,0.0226070218866785,0.0437799533686156
AC004882.1,2.12588997746175,-2.90916388862186,0.909666526942226,-3.19805533397034,0.00138357729167201,0.0033763445848521
AC004884.2,10.6654081686833,3.95246043809915,0.508434632686582,7.77378287001074,7.61762707041341e-15,4.90561816527634e-14
AC004889.1,2.32741026604024,-2.68748870541085,0.995468982303126,-2.6997211898989,0.00693976071752792,0.0149980209221412
AC004893.1,1.8583560920909,1.83529058920891,0.768169784318146,2.38917310557584,0.016886343842361,0.0336570551058722
AC004899.2,55.8323363284451,-5.91049183412439,0.560236647851272,-10.5499914309309,5.08017278643458e-26,5.38884555328863e-25
AC004918.1,161.051082895412,1.22351195581045,0.149332065865104,8.19322995849858,2.54307635501217e-16,1.76748518012826e-15
AC004918.3,150.096111028149,1.19577958387179,0.203763655815945,5.86846353479203,4.39852109153905e-09,1.95590235920881e-08
AC004922.1,15.304368647092,0.769400516671105,0.269178691941802,2.85832623348007,0.00425882292930018,0.00956445683085477
AC004925.1,727.451765661316,5.38840409511217,0.470809831254783,11.4449693642786,2.49192488815819e-30,3.03197664590173e-29
AC004930.1,0.83154447683499,3.11666747880148,1.38871274847232,2.24428520745564,0.0248140567028509,0.0475872890216436
AC004941.1,3.93316716531472,-1.95124081107418,0.611537676056695,-3.19071234278831,0.00141922507009801,0.00345773745960508
AC004945.1,3.2320453726513,1.98761092206137,0.677278973194034,2.93470047163555,0.00333869805024735,0.00764411751329432
AC004947.1,3.42630901012147,-4.042493313022,0.944100161785185,-4.28184791895185,1.85347644713265e-05,5.80208653955242e-05
AC004947.2,67.7664076364945,-3.29306541085822,0.298410058574299,-11.0353700092797,2.57987412668307e-28,2.95678445394864e-27
AC004948.1,1.31181008526329,-2.87579036255639,0.964774121017652,-2.98079135821241,0.00287504599548064,0.00666115782552723
AC004949.1,1.75536203826091,-3.00000503323581,0.882391729387102,-3.39985624674834,0.000674212888968034,0.00173216587909882
AC004951.1,365.705168046578,0.628933769522723,0.272777379130296,2.30566688311168,0.0211292529298068,0.0411732034352165
AC004969.1,1.07548587743165,-3.23933505581338,1.02826718462891,-3.15028535796599,0.00163111061440115,0.00393658461648608
AC004982.1,157.231599639361,0.39726310325786,0.172834711887781,2.29851456873893,0.0215325196696634,0.0418937417383033
AC004982.2,637.607867721696,1.2116349816046,0.238442416081903,5.08145740809981,3.74550001013573e-07,1.40530128172267e-06
AC004987.3,5.42890269884828,-1.49223712053178,0.4866535190383,-3.06632349742515,0.00216708711541247,0.00512894499963456
AC005005.2,1.40361601571121,-2.9644467722577,0.974714989772884,-3.04134726906009,0.00235522018913984,0.00554119256261707
AC005009.2,27.3208660744373,1.57389572999209,0.258157870766737,6.09664049876753,1.08320747424487e-09,5.04460926350396e-09
AC005013.1,17.8838737462683,-4.72678742848159,0.488725801321821,-9.67165518107985,3.9789002073334e-22,3.58440732658498e-21
AC005014.1,4.44194412373503,-1.5112635812399,0.512874129280374,-2.94665590436466,0.00321230441012395,0.00738176315956068
AC005014.2,8.8782195502549,-1.94933211536261,0.462940328123766,-4.21076323867266,2.54509370488756e-05,7.82414129580476e-05
AC005034.5,25.835229768113,0.539052654430528,0.194214696949406,2.7755502693545,0.00551083793108132,0.0121319640024144
AC005041.2,2.30173004832272,-1.88855409325112,0.806224600797645,-2.34246646825545,0.0191567552924901,0.0376950105306623
AC005041.3,5.23482288133305,3.58508907039438,0.811676921901413,4.4168917135109,1.00130360445745e-05,3.23676542852096e-05
