"","id","altName","node_attributes"
"165","ADAMTS1",NA,"turquoise"
"166","ADAMTS10",NA,"turquoise"
"167","ADAMTS13",NA,"turquoise"
"168","ADAMTS14",NA,"turquoise"
"169","ADAMTS17",NA,"turquoise"
"170","ADAMTS18",NA,"turquoise"
"171","ADAMTS19",NA,"turquoise"
"172","ADAMTS2",NA,"turquoise"
"173","ADAMTS4",NA,"turquoise"
"174","ADAMTS6",NA,"turquoise"
"175","ADAMTS7",NA,"turquoise"
"176","ADAMTS8",NA,"turquoise"
"177","ADAMTS9",NA,"turquoise"
"178","ADAMTSL2",NA,"turquoise"
"179","ADAP1",NA,"turquoise"
"180","ADARB1",NA,"turquoise"
"181","ADARB2",NA,"turquoise"
"182","ADAT2",NA,"turquoise"
"183","ADCK1",NA,"turquoise"
"184","ADCY1",NA,"turquoise"
"185","ADCY10",NA,"turquoise"
"186","ADCY10P1",NA,"turquoise"
"187","ADCY2",NA,"turquoise"
"188","ADCY3",NA,"turquoise"
"189","ADCY5",NA,"turquoise"
"190","ADCY6",NA,"turquoise"
"191","ADCY8",NA,"turquoise"
"192","ADCY9",NA,"turquoise"
"193","ADCYAP1R1",NA,"turquoise"
"194","ADD2",NA,"turquoise"
"195","ADGRA1",NA,"turquoise"
"196","ADGRA2",NA,"turquoise"
"197","ADGRA3",NA,"turquoise"
"198","ADGRB1",NA,"turquoise"
"199","ADGRB2",NA,"turquoise"
"200","ADGRB3",NA,"turquoise"
"201","ADGRD1",NA,"turquoise"
"202","ADGRE2",NA,"turquoise"
"203","ADGRE5",NA,"turquoise"
"204","ADGRG1",NA,"turquoise"
"205","ADGRG2",NA,"turquoise"
"206","ADGRL1",NA,"turquoise"
"207","ADGRL2",NA,"turquoise"
"208","ADGRV1",NA,"turquoise"
"209","ADH4",NA,"turquoise"
"210","ADIPOR2",NA,"turquoise"
"211","ADK",NA,"turquoise"
"212","ADNP2",NA,"turquoise"
"213","ADPRH",NA,"turquoise"
"214","ADRA1A",NA,"turquoise"
"215","ADRM1",NA,"turquoise"
"216","ADSS",NA,"turquoise"
"217","ADTRP",NA,"turquoise"
"218","AEBP1",NA,"turquoise"
"219","AEBP2",NA,"turquoise"
"220","AEN",NA,"turquoise"
"221","AF011889.5",NA,"turquoise"
"222","AFAP1",NA,"turquoise"
"223","AFAP1L1",NA,"turquoise"
"224","AFAP1L2",NA,"turquoise"
"225","AFF2",NA,"turquoise"
"226","AFF3",NA,"turquoise"
"227","AFMID",NA,"turquoise"
"228","AGA",NA,"turquoise"
"229","AGAP13P",NA,"turquoise"
"230","AGAP2",NA,"turquoise"
"231","AGAP3",NA,"turquoise"
"232","AGBL1",NA,"turquoise"
"233","AGBL2",NA,"turquoise"
"234","AGBL4",NA,"turquoise"
"235","AGBL5",NA,"turquoise"
"236","AGFG2",NA,"turquoise"
"237","AGO1",NA,"turquoise"
"238","AGO4",NA,"turquoise"
"239","AGPAT4",NA,"turquoise"
"240","AGPAT4-IT1",NA,"turquoise"
"241","AGPS",NA,"turquoise"
"242","AGRN",NA,"turquoise"
"243","AGTPBP1",NA,"turquoise"
"244","AGTRAP",NA,"turquoise"
"245","AHCY",NA,"turquoise"
"246","AHCYL2",NA,"turquoise"
"247","AHDC1",NA,"turquoise"
"248","AHR",NA,"turquoise"
"249","AHSA1",NA,"turquoise"
"250","AIDA",NA,"turquoise"
"251","AIF1L",NA,"turquoise"
"252","AIFM1",NA,"turquoise"
"253","AIFM2",NA,"turquoise"
"254","AIMP1P1",NA,"turquoise"
"255","AIP",NA,"turquoise"
"256","AIRE",NA,"turquoise"
"257","AK1",NA,"turquoise"
"258","AK3P3",NA,"turquoise"
"259","AK4",NA,"turquoise"
"260","AK5",NA,"turquoise"
"261","AK6",NA,"turquoise"
"262","AK7",NA,"turquoise"
"263","AKAP12",NA,"turquoise"
"264","AKAP13",NA,"turquoise"
"265","AKAP2",NA,"turquoise"
"266","AKAP3",NA,"turquoise"
"267","AKAP6",NA,"turquoise"
"268","AKIP1",NA,"turquoise"
"269","AKIRIN1",NA,"turquoise"
"270","AKIRIN2",NA,"turquoise"
"271","AKNA",NA,"turquoise"
"272","AKNAD1",NA,"turquoise"
"273","AKR1C1",NA,"turquoise"
"274","AKR1C2",NA,"turquoise"
"275","AKR1C3",NA,"turquoise"
"276","AKR1D1",NA,"turquoise"
"277","AKR7A2",NA,"turquoise"
"278","AKR7A3",NA,"turquoise"
"279","AKT1S1",NA,"turquoise"
"280","AKT3",NA,"turquoise"
"281","AL034550.1",NA,"turquoise"
"282","AL078584.1",NA,"turquoise"
"283","AL109923.1",NA,"turquoise"
"284","AL135791.1",NA,"turquoise"
"285","AL138479.3",NA,"turquoise"
"286","AL513122.1",NA,"turquoise"
"287","AL513122.2",NA,"turquoise"
"288","AL772307.1",NA,"turquoise"
"289","ALAD",NA,"turquoise"
"290","ALAS1",NA,"turquoise"
"291","ALB",NA,"turquoise"
"292","ALDH16A1",NA,"turquoise"
"293","ALDH18A1",NA,"turquoise"
"294","ALDH1A2",NA,"turquoise"
"295","ALDH1A3",NA,"turquoise"
"296","ALDH1L2",NA,"turquoise"
"297","ALDH2",NA,"turquoise"
"298","ALDH3A2",NA,"turquoise"
"299","ALDH3B1",NA,"turquoise"
"300","ALDH4A1",NA,"turquoise"
"301","ALDH5A1",NA,"turquoise"
"302","ALDH7A1",NA,"turquoise"
"303","ALDH7A1P1",NA,"turquoise"
"304","ALDOC",NA,"turquoise"
"305","ALG12",NA,"turquoise"
"306","ALG6",NA,"turquoise"
"307","ALK",NA,"turquoise"
"308","ALKBH5",NA,"turquoise"
"309","ALKBH6",NA,"turquoise"
"310","ALKBH7",NA,"turquoise"
"311","ALKBH8",NA,"turquoise"
"312","ALOX12P2",NA,"turquoise"
"313","ALPK1",NA,"turquoise"
"314","ALS2CR11",NA,"turquoise"
"315","ALS2CR12",NA,"turquoise"
"316","AMBRA1",NA,"turquoise"
"317","AMD1",NA,"turquoise"
"318","AMD1P4",NA,"turquoise"
"319","AMDHD2",NA,"turquoise"
"320","AMER1",NA,"turquoise"
"321","AMER2",NA,"turquoise"
"322","AMMECR1",NA,"turquoise"
"323","AMOTL1",NA,"turquoise"
"324","AMOTL2",NA,"turquoise"
"325","AMPD2",NA,"turquoise"
"326","AMPD3",NA,"turquoise"
"327","AMPH",NA,"turquoise"
"328","AMZ1",NA,"turquoise"
