"","id","altName","node_attributes"
"164","ADGRE5",NA,"turquoise"
"165","ADGRG1",NA,"turquoise"
"166","ADGRL1",NA,"turquoise"
"167","ADGRL3",NA,"turquoise"
"168","ADI1",NA,"turquoise"
"169","ADIPOR2",NA,"turquoise"
"170","ADK",NA,"turquoise"
"171","ADNP",NA,"turquoise"
"172","ADNP2",NA,"turquoise"
"173","ADRB3",NA,"turquoise"
"174","ADSS",NA,"turquoise"
"175","ADTRP",NA,"turquoise"
"176","AEBP1",NA,"turquoise"
"177","AF011889.5",NA,"turquoise"
"178","AFAP1",NA,"turquoise"
"179","AFAP1L1",NA,"turquoise"
"180","AFAP1L2",NA,"turquoise"
"181","AFF2",NA,"turquoise"
"182","AFF3",NA,"turquoise"
"183","AFMID",NA,"turquoise"
"184","AGA",NA,"turquoise"
"185","AGAP2",NA,"turquoise"
"186","AGAP3",NA,"turquoise"
"187","AGBL1",NA,"turquoise"
"188","AGBL4",NA,"turquoise"
"189","AGFG2",NA,"turquoise"
"190","AGL",NA,"turquoise"
"191","AGO4",NA,"turquoise"
"192","AGPAT4",NA,"turquoise"
"193","AGPAT4-IT1",NA,"turquoise"
"194","AGTPBP1",NA,"turquoise"
"195","AGTRAP",NA,"turquoise"
"196","AGXT",NA,"turquoise"
"197","AHCYL2",NA,"turquoise"
"198","AHDC1",NA,"turquoise"
"199","AHSA1",NA,"turquoise"
"200","AIDA",NA,"turquoise"
"201","AIF1L",NA,"turquoise"
"202","AIFM1",NA,"turquoise"
"203","AIP",NA,"turquoise"
"204","AK3P3",NA,"turquoise"
"205","AK4",NA,"turquoise"
"206","AK5",NA,"turquoise"
"207","AK7",NA,"turquoise"
"208","AKAP10",NA,"turquoise"
"209","AKAP12",NA,"turquoise"
"210","AKAP13",NA,"turquoise"
"211","AKAP2",NA,"turquoise"
"212","AKAP3",NA,"turquoise"
"213","AKAP6",NA,"turquoise"
"214","AKAP7",NA,"turquoise"
"215","AKIRIN1",NA,"turquoise"
"216","AKNA",NA,"turquoise"
"217","AKR1A1",NA,"turquoise"
"218","AKR1C1",NA,"turquoise"
"219","AKR1C2",NA,"turquoise"
"220","AKR1C3",NA,"turquoise"
"221","AKR1E2",NA,"turquoise"
"222","AKT1S1",NA,"turquoise"
"223","AL078584.1",NA,"turquoise"
"224","AL513122.1",NA,"turquoise"
"225","ALAD",NA,"turquoise"
"226","ALDH16A1",NA,"turquoise"
"227","ALDH18A1",NA,"turquoise"
"228","ALDH1A3",NA,"turquoise"
"229","ALDH1B1",NA,"turquoise"
"230","ALDH1L2",NA,"turquoise"
"231","ALDH2",NA,"turquoise"
"232","ALDH3B1",NA,"turquoise"
"233","ALDH4A1",NA,"turquoise"
"234","ALDH5A1",NA,"turquoise"
"235","ALDH8A1",NA,"turquoise"
"236","ALG13",NA,"turquoise"
"237","ALG14",NA,"turquoise"
"238","ALG8",NA,"turquoise"
"239","ALK",NA,"turquoise"
"240","ALKBH2",NA,"turquoise"
"241","ALKBH3",NA,"turquoise"
"242","ALKBH6",NA,"turquoise"
"243","ALKBH7",NA,"turquoise"
"244","ALKBH8",NA,"turquoise"
"245","ALOX12P2",NA,"turquoise"
"246","ALPK3",NA,"turquoise"
"247","ALPL",NA,"turquoise"
"248","ALS2CR11",NA,"turquoise"
"249","AMBRA1",NA,"turquoise"
"250","AMD1",NA,"turquoise"
"251","AMD1P4",NA,"turquoise"
"252","AMER1",NA,"turquoise"
"253","AMER2",NA,"turquoise"
"254","AMOTL1",NA,"turquoise"
"255","AMOTL2",NA,"turquoise"
"256","AMPD3",NA,"turquoise"
"257","AMPH",NA,"turquoise"
"258","AMY2B",NA,"turquoise"
"259","AMZ1",NA,"turquoise"
"260","ANAPC5",NA,"turquoise"
"261","ANGEL1",NA,"turquoise"
"262","ANGEL2",NA,"turquoise"
"263","ANGPTL1",NA,"turquoise"
"264","ANK1",NA,"turquoise"
"265","ANK2",NA,"turquoise"
"266","ANK3",NA,"turquoise"
"267","ANKDD1A",NA,"turquoise"
"268","ANKH",NA,"turquoise"
"269","ANKIB1",NA,"turquoise"
"270","ANKRA2",NA,"turquoise"
"271","ANKRD13B",NA,"turquoise"
"272","ANKRD18A",NA,"turquoise"
"273","ANKRD18CP",NA,"turquoise"
"274","ANKRD20A1",NA,"turquoise"
"275","ANKRD20A5P",NA,"turquoise"
"276","ANKRD20A7P",NA,"turquoise"
"277","ANKRD29",NA,"turquoise"
"278","ANKRD34A",NA,"turquoise"
"279","ANKRD35",NA,"turquoise"
"280","ANKRD36BP2",NA,"turquoise"
"281","ANKRD36C",NA,"turquoise"
"282","ANKRD37",NA,"turquoise"
"283","ANKRD39",NA,"turquoise"
"284","ANKRD40",NA,"turquoise"
"285","ANKRD42",NA,"turquoise"
"286","ANKRD45",NA,"turquoise"
"287","ANKRD50",NA,"turquoise"
"288","ANKRD54",NA,"turquoise"
"289","ANKRD61",NA,"turquoise"
"290","ANKRD65",NA,"turquoise"
"291","ANKRD7",NA,"turquoise"
"292","ANKRD9",NA,"turquoise"
"293","ANKS4B",NA,"turquoise"
"294","ANLN",NA,"turquoise"
"295","ANO10",NA,"turquoise"
"296","ANO3",NA,"turquoise"
"297","ANO4",NA,"turquoise"
"298","ANO6",NA,"turquoise"
"299","ANO7",NA,"turquoise"
"300","ANO8",NA,"turquoise"
"301","ANOS1",NA,"turquoise"
"302","ANTXR1",NA,"turquoise"
"303","ANTXR2",NA,"turquoise"
"304","ANXA2",NA,"turquoise"
"305","ANXA2P1",NA,"turquoise"
"306","ANXA4",NA,"turquoise"
"307","ANXA5",NA,"turquoise"
"308","ANXA6",NA,"turquoise"
"309","ANXA7",NA,"turquoise"
"310","ANXA9",NA,"turquoise"
"311","AOX1",NA,"turquoise"
"312","AP000857.2",NA,"turquoise"
"313","AP000925.2",NA,"turquoise"
"314","AP000936.1",NA,"turquoise"
"315","AP1AR",NA,"turquoise"
"316","AP1G1",NA,"turquoise"
"317","AP1G2",NA,"turquoise"
"318","AP1M1",NA,"turquoise"
"319","AP2A1",NA,"turquoise"
"320","AP2S1",NA,"turquoise"
"321","AP3S1",NA,"turquoise"
"322","AP3S2",NA,"turquoise"
"323","AP4B1",NA,"turquoise"
"324","AP5Z1",NA,"turquoise"
"325","APBA1",NA,"turquoise"
"326","APBB1",NA,"turquoise"
"327","APC2",NA,"turquoise"
"328","APEH",NA,"turquoise"
"329","APELA",NA,"turquoise"
"330","APEX1",NA,"turquoise"
"331","API5",NA,"turquoise"
"332","APLN",NA,"turquoise"
"333","APLP1",NA,"turquoise"
"334","APLP2",NA,"turquoise"
"335","APOBEC4",NA,"turquoise"
"336","APOBR",NA,"turquoise"
"337","APOE",NA,"turquoise"
"338","APOL1",NA,"turquoise"
"339","APOL2",NA,"turquoise"
"340","APOLD1",NA,"turquoise"
"341","APP",NA,"turquoise"
"342","APTX",NA,"turquoise"
"343","ARAP1",NA,"turquoise"
"344","ARAP2",NA,"turquoise"
"345","ARAP3",NA,"turquoise"
"346","AREL1",NA,"turquoise"
"347","ARF1P2",NA,"turquoise"
"348","ARFGEF3",NA,"turquoise"
"349","ARFRP1",NA,"turquoise"
"350","ARHGAP1",NA,"turquoise"
"351","ARHGAP10",NA,"turquoise"
"352","ARHGAP11B",NA,"turquoise"
"353","ARHGAP12",NA,"turquoise"
"354","ARHGAP17",NA,"turquoise"
"355","ARHGAP20",NA,"turquoise"
"356","ARHGAP23",NA,"turquoise"
"357","ARHGAP30",NA,"turquoise"
"358","ARHGAP31",NA,"turquoise"
"359","ARHGAP32",NA,"turquoise"
"360","ARHGAP39",NA,"turquoise"
"361","ARHGAP42",NA,"turquoise"
"362","ARHGAP44",NA,"turquoise"
"363","ARHGAP5",NA,"turquoise"
"364","ARHGEF1",NA,"turquoise"
"365","ARHGEF10L",NA,"turquoise"
"366","ARHGEF11",NA,"turquoise"
"367","ARHGEF17",NA,"turquoise"
"368","ARHGEF2",NA,"turquoise"
"369","ARHGEF25",NA,"turquoise"
"370","ARHGEF26",NA,"turquoise"
"371","ARHGEF28",NA,"turquoise"
"372","ARHGEF3",NA,"turquoise"
"373","ARHGEF37",NA,"turquoise"
"374","ARHGEF4",NA,"turquoise"
"375","ARHGEF40",NA,"turquoise"
"376","ARHGEF6",NA,"turquoise"
"377","ARHGEF7",NA,"turquoise"
"378","ARHGEF9",NA,"turquoise"
"379","ARID1B",NA,"turquoise"
"380","ARID5A",NA,"turquoise"
"381","ARID5B",NA,"turquoise"
"382","ARL10",NA,"turquoise"
"383","ARL13B",NA,"turquoise"
"384","ARL14EP",NA,"turquoise"
"385","ARL2",NA,"turquoise"
"386","ARL3",NA,"turquoise"
"387","ARL4A",NA,"turquoise"
"388","ARL4C",NA,"turquoise"
"389","ARL8A",NA,"turquoise"
"390","ARMC1",NA,"turquoise"
"391","ARMC10",NA,"turquoise"
"392","ARMC3",NA,"turquoise"
"393","ARMC4",NA,"turquoise"
"394","ARMC5",NA,"turquoise"
"395","ARMC9",NA,"turquoise"
"396","ARMCX1",NA,"turquoise"
"397","ARMCX2",NA,"turquoise"
"398","ARMCX5",NA,"turquoise"
"399","ARMCX6",NA,"turquoise"
"400","ARNT2",NA,"turquoise"
"401","ARNTL",NA,"turquoise"
"402","ARNTL2",NA,"turquoise"
"403","ARPC5",NA,"turquoise"
"404","ARPP21",NA,"turquoise"
"405","ARRDC2",NA,"turquoise"
"406","ARRDC4",NA,"turquoise"
"407","ARSB",NA,"turquoise"
"408","ARSD",NA,"turquoise"
"409","ARSE",NA,"turquoise"
"410","ART3",NA,"turquoise"
"411","ARVCF",NA,"turquoise"
"412","ARX",NA,"turquoise"
"413","ASAH2B",NA,"turquoise"
"414","ASAP2",NA,"turquoise"
"415","ASB13",NA,"turquoise"
"416","ASB16",NA,"turquoise"
"417","ASB3",NA,"turquoise"
"418","ASB4",NA,"turquoise"
"419","ASCC1",NA,"turquoise"
"420","ASCC3",NA,"turquoise"
"421","ASCL1",NA,"turquoise"
"422","ASGR1",NA,"turquoise"
"423","ASH1L",NA,"turquoise"
"424","ASIC1",NA,"turquoise"
"425","ASIC2",NA,"turquoise"
"426","ASIC4",NA,"turquoise"
"427","ASPA",NA,"turquoise"
"428","ASPDH",NA,"turquoise"
"429","ASPH",NA,"turquoise"
"430","ASPHD1",NA,"turquoise"
"431","ASPHD2",NA,"turquoise"
"432","ASTN1",NA,"turquoise"
"433","ASTN2",NA,"turquoise"
"434","ASZ1",NA,"turquoise"
"435","ATAD2",NA,"turquoise"
"436","ATAD3C",NA,"turquoise"
"437","ATAD5",NA,"turquoise"
"438","ATCAY",NA,"turquoise"
"439","ATF5",NA,"turquoise"
"440","ATF7",NA,"turquoise"
"441","ATG10",NA,"turquoise"
"442","ATG101",NA,"turquoise"
