"","id","altName","node_attributes"
"162","AC020910.5",NA,"turquoise"
"163","AC020915.3",NA,"turquoise"
"164","AC020928.2",NA,"turquoise"
"165","AC022075.1",NA,"turquoise"
"166","AC022182.1",NA,"turquoise"
"167","AC022211.2",NA,"turquoise"
"168","AC022467.1",NA,"turquoise"
"169","AC023389.2",NA,"turquoise"
"170","AC023481.1",NA,"turquoise"
"171","AC023632.2",NA,"turquoise"
"172","AC023632.6",NA,"turquoise"
"173","AC024075.2",NA,"turquoise"
"174","AC024361.1",NA,"turquoise"
"175","AC025031.4",NA,"turquoise"
"176","AC025048.2",NA,"turquoise"
"177","AC025423.4",NA,"turquoise"
"178","AC026271.3",NA,"turquoise"
"179","AC026356.2",NA,"turquoise"
"180","AC026770.1",NA,"turquoise"
"181","AC026951.1",NA,"turquoise"
"182","AC027031.2",NA,"turquoise"
"183","AC027097.1",NA,"turquoise"
"184","AC027335.1",NA,"turquoise"
"185","AC027559.1",NA,"turquoise"
"186","AC027612.1",NA,"turquoise"
"187","AC027644.3",NA,"turquoise"
"188","AC027682.7",NA,"turquoise"
"189","AC027763.1",NA,"turquoise"
"190","AC037459.2",NA,"turquoise"
"191","AC040162.1",NA,"turquoise"
"192","AC051619.6",NA,"turquoise"
"193","AC064807.1",NA,"turquoise"
"194","AC064850.1",NA,"turquoise"
"195","AC064875.1",NA,"turquoise"
"196","AC067931.1",NA,"turquoise"
"197","AC068580.4",NA,"turquoise"
"198","AC068587.4",NA,"turquoise"
"199","AC068620.1",NA,"turquoise"
"200","AC068888.1",NA,"turquoise"
"201","AC069281.2",NA,"turquoise"
"202","AC073050.1",NA,"turquoise"
"203","AC073109.1",NA,"turquoise"
"204","AC073335.2",NA,"turquoise"
"205","AC073343.2",NA,"turquoise"
"206","AC073389.2",NA,"turquoise"
"207","AC073410.1",NA,"turquoise"
"208","AC073869.1",NA,"turquoise"
"209","AC073896.4",NA,"turquoise"
"210","AC073957.3",NA,"turquoise"
"211","AC074043.1",NA,"turquoise"
"212","AC074141.1",NA,"turquoise"
"213","AC074194.1",NA,"turquoise"
"214","AC074367.1",NA,"turquoise"
"215","AC079781.5",NA,"turquoise"
"216","AC080013.1",NA,"turquoise"
"217","AC080100.1",NA,"turquoise"
"218","AC080128.1",NA,"turquoise"
"219","AC084125.2",NA,"turquoise"
"220","AC087294.1",NA,"turquoise"
"221","AC087481.3",NA,"turquoise"
"222","AC090114.2",NA,"turquoise"
"223","AC090114.3",NA,"turquoise"
"224","AC090181.2",NA,"turquoise"
"225","AC090181.3",NA,"turquoise"
"226","AC090220.1",NA,"turquoise"
"227","AC090517.4",NA,"turquoise"
"228","AC090568.2",NA,"turquoise"
"229","AC090587.2",NA,"turquoise"
"230","AC090607.2",NA,"turquoise"
"231","AC090692.1",NA,"turquoise"
"232","AC091057.1",NA,"turquoise"
"233","AC091133.1",NA,"turquoise"
"234","AC091305.1",NA,"turquoise"
"235","AC091729.3",NA,"turquoise"
"236","AC092070.2",NA,"turquoise"
"237","AC092111.2",NA,"turquoise"
"238","AC092117.1",NA,"turquoise"
"239","AC092119.2",NA,"turquoise"
"240","AC092135.1",NA,"turquoise"
"241","AC092171.5",NA,"turquoise"
"242","AC092651.2",NA,"turquoise"
"243","AC092691.2",NA,"turquoise"
"244","AC092747.4",NA,"turquoise"
"245","AC092803.2",NA,"turquoise"
"246","AC092821.3",NA,"turquoise"
"247","AC092953.1",NA,"turquoise"
"248","AC092958.1",NA,"turquoise"
"249","AC093157.1",NA,"turquoise"
"250","AC093330.1",NA,"turquoise"
"251","AC093330.2",NA,"turquoise"
"252","AC093503.3",NA,"turquoise"
"253","AC093752.1",NA,"turquoise"
"254","AC093827.4",NA,"turquoise"
"255","AC097103.2",NA,"turquoise"
"256","AC097376.2",NA,"turquoise"
"257","AC097534.2",NA,"turquoise"
"258","AC098614.1",NA,"turquoise"
"259","AC098826.2",NA,"turquoise"
"260","AC099336.1",NA,"turquoise"
"261","AC099494.3",NA,"turquoise"
"262","AC099804.1",NA,"turquoise"
"263","AC100810.1",NA,"turquoise"
"264","AC102953.2",NA,"turquoise"
"265","AC103853.2",NA,"turquoise"
"266","AC104564.5",NA,"turquoise"
"267","AC104581.4",NA,"turquoise"
"268","AC104596.1",NA,"turquoise"
"269","AC104763.1",NA,"turquoise"
"270","AC104964.1",NA,"turquoise"
"271","AC104964.3",NA,"turquoise"
"272","AC104964.4",NA,"turquoise"
"273","AC104986.1",NA,"turquoise"
"274","AC105074.1",NA,"turquoise"
"275","AC105114.1",NA,"turquoise"
"276","AC105383.1",NA,"turquoise"
"277","AC105429.1",NA,"turquoise"
"278","AC105942.1",NA,"turquoise"
"279","AC106791.1",NA,"turquoise"
"280","AC106820.4",NA,"turquoise"
"281","AC106881.1",NA,"turquoise"
"282","AC107027.3",NA,"turquoise"
"283","AC107214.1",NA,"turquoise"
"284","AC107375.1",NA,"turquoise"
"285","AC107398.3",NA,"turquoise"
"286","AC107884.1",NA,"turquoise"
"287","AC107983.2",NA,"turquoise"
"288","AC108047.1",NA,"turquoise"
"289","AC108062.1",NA,"turquoise"
"290","AC108866.1",NA,"turquoise"
"291","AC110285.1",NA,"turquoise"
"292","AC110285.2",NA,"turquoise"
"293","AC110597.1",NA,"turquoise"
"294","AC110769.2",NA,"turquoise"
"295","AC110994.2",NA,"turquoise"
"296","AC114811.2",NA,"turquoise"
"297","AC116565.1",NA,"turquoise"
"298","AC116565.2",NA,"turquoise"
"299","AC116913.1",NA,"turquoise"
"300","AC117503.2",NA,"turquoise"
"301","AC117947.1",NA,"turquoise"
"302","AC120036.3",NA,"turquoise"
"303","AC120036.4",NA,"turquoise"
"304","AC120042.3",NA,"turquoise"
"305","AC120053.1",NA,"turquoise"
"306","AC120114.2",NA,"turquoise"
"307","AC120114.4",NA,"turquoise"
"308","AC123768.3",NA,"turquoise"
"309","AC124283.3",NA,"turquoise"
"310","AC124944.3",NA,"turquoise"
"311","AC125612.1",NA,"turquoise"
