"GeneID","OPC_I1","OPC_I2","OPC_I3","OPC_I4","OPC_I5","OPC_I6","OPC_I7","OPC_I8","OPC_I9","OPC_I10","MO_I1","MO_I2","MO_I3","MO_I4","MO_I5","MO_I6","MO_I7"
"AL513485.1",5,1,5,2,3,4,1,1,4,1,3,5,6,13,1,9,1
"AL513493.1",0,2,0,0,0,0,0,0,1,2,0,0,0,2,1,0,0
"AL513497.1",0,1,3,1,5,7,1,4,9,0,3,7,0,2,3,0,3
"AL513523.1",73,82,156,135,103,72,66,213,314,146,220,200,207,331,282,96,228
"AL513523.2",0,0,4,1,1,0,2,3,1,1,1,1,0,2,0,1,4
"AL513523.3",0,0,1,1,3,0,0,1,0,1,0,0,1,0,0,0,0
"AL513523.4",0,4,3,3,3,0,0,11,2,3,8,1,10,11,3,2,3
"AL513533.1",1,0,0,0,1,1,2,0,0,0,1,0,2,3,0,0,0
"AL513534.1",63,89,134,108,105,141,213,131,149,117,113,89,113,129,119,22,53
"AL513534.2",0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0
"AL513542.1",0,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0
"AL513548.1",0,2,0,3,1,7,2,2,4,3,8,4,2,7,0,6,0
"AL513548.2",0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0
"AL513548.3",72,56,83,49,67,36,43,80,102,56,8,24,12,12,14,7,11
"AL513550.1",22,52,113,90,61,55,83,120,279,205,153,92,125,146,211,190,305
"AL583722.1",1,1,6,1,0,2,3,2,1,0,61,250,239,167,170,55,176
"AL583722.2",34,18,20,19,13,30,14,23,40,12,14,16,15,27,13,3,13
"AL583722.3",2,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,1
"AL583722.4",0,0,4,0,0,0,0,0,0,1,4,5,2,6,1,0,1
"AL583785.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"AL583803.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL583804.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"AL583805.1",0,0,1,1,0,0,2,3,0,0,4,3,0,4,5,2,2
"AL583805.2",11,7,23,33,23,15,32,47,57,33,76,62,81,116,97,14,50
"AL583808.1",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"AL583808.2",11,3,12,10,8,4,5,9,19,27,1,0,9,0,1,2,2
"AL583810.1",2,5,3,0,2,0,2,5,3,1,6,3,3,0,0,3,3
"AL583810.2",3,4,15,8,4,5,0,4,5,5,44,25,22,39,29,6,26
"AL583810.3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL583824.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AL583832.1",0,0,0,1,1,0,0,0,0,0,1,1,0,4,1,0,1
"AL583834.1",0,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"AL583835.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL583835.2",0,1,3,5,0,0,5,5,10,8,0,3,7,2,10,2,3
"AL583836.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL583839.1",64,14,28,26,11,17,23,45,39,29,70,48,83,59,110,69,159
"AL583839.2",2,0,0,1,0,0,1,1,3,1,0,0,2,1,4,0,2
"AL583843.1",0,7,10,9,8,10,3,24,16,18,0,0,5,2,1,3,1
"AL583844.1",0,3,3,0,6,2,2,4,7,4,0,0,0,4,0,0,0
"AL583852.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL583854.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"AL583856.1",0,0,0,2,3,0,7,0,0,0,0,0,0,0,0,2,0
"AL583856.2",14,5,16,15,24,15,26,24,24,22,11,13,9,10,27,1,9
"AL583859.1",0,0,0,2,1,0,0,0,2,0,0,0,4,0,0,2,0
"AL583859.2",0,0,3,1,2,7,6,1,6,2,0,3,4,4,7,1,0
"AL583859.3",0,1,0,2,0,5,1,0,0,0,1,0,5,1,2,0,1
"AL589182.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL589182.2",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"AL589642.1",0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0
"AL589642.2",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0
"AL589647.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL589655.1",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4
"AL589666.1",0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
"AL589666.2",7,11,14,14,11,7,17,24,22,14,21,5,14,11,12,0,11
"AL589669.1",0,0,1,3,0,5,3,0,0,0,28,28,37,26,34,5,17
"AL589674.1",3,1,1,1,2,2,3,0,1,0,0,2,1,1,0,2,1
"AL589678.1",0,0,0,1,0,0,0,0,0,0,0,0,2,4,1,0,0
"AL589684.1",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AL589702.1",0,0,0,3,0,0,2,0,1,0,2,6,7,4,1,0,4
"AL589739.1",0,0,0,2,1,0,1,1,1,0,1,0,0,0,0,0,0
"AL589740.1",661,778,1086,1241,1181,1346,1329,1490,1752,1342,212,211,459,469,447,92,260
"AL589743.1",2,3,0,0,3,3,0,0,1,1,0,1,0,2,0,0,2
"AL589743.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL589743.3",0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AL589743.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AL589743.5",0,1,0,0,0,0,1,1,0,0,0,0,2,0,2,0,0
"AL589743.6",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"AL589743.7",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AL589743.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"AL589745.1",0,3,2,1,0,0,0,0,0,0,0,0,7,1,0,1,1
"AL589745.2",2,11,2,1,1,3,0,6,2,3,2,5,1,0,6,0,0
"AL589763.1",0,3,1,0,3,2,0,1,2,3,0,0,0,2,0,0,0
"AL589765.1",75,13,50,28,26,9,29,33,53,50,24,19,14,8,34,14,46
"AL589765.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL589765.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL589765.4",15,21,31,32,18,10,18,34,59,31,12,30,25,30,13,16,42
"AL589765.5",13,4,34,19,9,9,9,17,40,33,13,7,19,14,18,3,22
"AL589765.6",5,2,17,23,16,25,22,15,35,24,10,10,10,10,10,3,4
"AL589765.7",0,1,2,1,0,0,2,3,6,1,0,0,2,1,0,2,0
"AL589794.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL589823.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL589826.1",0,3,1,0,0,1,1,3,5,2,2,1,2,3,0,0,2
"AL589826.2",15,20,31,31,13,20,49,28,32,49,8,4,8,9,6,6,4
"AL589843.1",19,29,36,39,14,23,29,42,66,44,29,17,39,62,46,20,63
"AL589843.2",19,36,45,39,22,15,13,63,60,39,72,28,45,57,54,18,56
"AL589863.1",2,11,24,1,1,0,0,9,24,17,0,0,1,0,0,0,0
"AL589872.1",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AL589880.1",0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
"AL589923.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL589935.1",43,34,47,109,36,46,40,92,66,69,26,21,26,50,30,7,22
"AL589935.2",0,2,0,1,2,1,0,2,1,1,0,0,0,0,4,2,3
"AL589946.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AL589986.1",0,0,4,3,2,0,0,3,1,6,0,0,0,0,0,0,0
"AL589986.2",2,35,40,30,9,12,9,67,50,55,1,3,12,7,8,2,10
"AL589987.1",18,8,15,16,5,13,24,5,32,5,1,3,7,3,4,3,1
"AL589987.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AL589990.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL589993.1",126,79,154,94,69,88,45,164,255,116,43,48,136,91,128,65,74
"AL589994.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL589994.2",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"AL590002.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AL590004.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590004.2",0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
"AL590004.3",0,2,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0
"AL590004.4",268,76,119,121,75,115,104,104,163,122,5,0,4,3,7,9,16
