"GeneID","OPC_I1","OPC_I2","OPC_I3","OPC_I4","OPC_I5","OPC_I6","OPC_I7","OPC_I8","OPC_I9","OPC_I10","MO_I1","MO_I2","MO_I3","MO_I4","MO_I5","MO_I6","MO_I7"
"A1BG",2,2,8,4,3,3,5,6,4,3,42,49,34,88,49,24,41
"A1BG-AS1",17,8,14,12,11,18,18,9,25,3,343,351,312,595,385,126,275
"A1CF",0,0,0,1,3,1,2,0,0,0,0,0,0,0,1,0,0
"A2M",39,36,60,60,105,106,176,37,140,45,84,54,90,154,50,161,142
"A2M-AS1",126,140,260,234,186,227,218,271,321,225,244,173,195,335,216,44,123
"A2ML1",19,32,95,32,14,24,32,87,111,51,3,1,26,7,4,16,5
"A2ML1-AS1",9,2,25,3,4,2,7,5,15,6,2,0,6,5,3,1,1
"A2ML1-AS2",0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,4
"A2MP1",0,6,7,4,0,10,10,6,18,4,20,15,10,64,21,18,40
"A3GALT2",8,4,11,11,9,2,2,12,12,4,8,2,6,20,15,8,7
"A4GALT",0,0,2,4,0,5,1,0,0,0,1,0,0,1,0,0,1
"A4GNT",0,1,2,4,3,0,1,3,1,0,1,2,0,6,1,0,0
"AAAS",397,353,484,469,371,469,459,508,722,384,727,816,753,1300,884,302,617
"AACS",499,474,867,654,535,573,824,594,1418,650,768,599,1013,1491,1073,908,1344
"AACSP1",0,1,0,4,1,1,1,3,4,4,5,1,5,2,1,4,7
"AADAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AADACL2-AS1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"AADACP1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AADAT",262,421,602,642,628,660,661,730,1190,875,307,331,475,532,428,247,492
"AAED1",7,14,34,30,18,39,47,15,54,13,46,40,58,107,60,17,50
"AAGAB",135,306,523,448,354,530,689,453,801,470,442,386,607,810,444,220,473
"AAK1",1536,3016,5144,4036,3139,3028,4279,4835,7130,4169,4708,3811,5374,7201,5707,3090,5711
"AAMDC",57,56,104,87,62,44,73,74,126,83,151,185,181,231,176,49,113
"AAMP",501,460,777,845,478,932,1386,552,1707,474,459,768,925,955,715,719,805
"AANAT",1,0,1,5,2,0,0,0,0,0,0,0,2,0,0,1,0
"AAR2",103,229,450,390,267,463,561,333,496,292,290,251,354,484,286,93,172
"AARD",7,8,13,12,13,20,34,8,19,5,3,12,12,26,14,3,2
"AARS",900,1499,2562,2059,1212,2250,3656,1661,3861,1425,2524,3063,3833,4003,3050,2284,2721
"AARS2",190,355,596,481,313,467,584,518,942,409,470,450,544,667,546,472,498
"AARSD1",64,98,181,97,84,103,93,103,177,113,77,47,67,98,97,44,71
"AARSP1",0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
"AASDH",425,409,788,812,659,913,933,772,1023,822,621,525,635,996,671,158,616
"AASDHPPT",368,657,1127,1054,1149,1874,2088,865,1415,843,894,1001,1273,1596,1048,286,829
"AASS",1110,1152,2353,2087,2150,2676,2192,2658,5456,2223,3627,2374,3080,5668,4305,1339,2711
"AATBC",0,0,4,5,4,0,1,1,0,4,3,2,1,12,2,4,2
"AATF",598,292,614,446,255,494,522,490,1477,418,988,2188,1236,3326,2851,5546,2756
"AATK",690,1513,3111,2321,1077,1959,2831,2010,6959,1366,21909,22928,21384,37836,23209,26226,28136
"AB015752.1",6,10,16,15,19,16,13,15,13,20,121,75,124,129,124,22,110
"ABALON",0,7,6,6,4,3,6,11,18,11,64,39,67,38,37,24,33
"ABAT",2383,2270,3811,3335,2441,3404,4807,3178,5787,2598,1072,535,976,1231,664,499,800
"ABBA01000935.2",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"ABBA01006766.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA1",2209,2010,3956,3551,1981,1822,3762,3191,4855,4660,1020,922,1132,446,745,730,522
"ABCA10",144,95,313,109,55,83,116,189,311,221,125,104,353,183,219,111,159
"ABCA11P",19,43,73,40,67,57,82,90,198,63,29,29,56,38,57,27,19
"ABCA12",6,9,10,12,9,26,12,15,23,17,3,1,12,3,0,5,2
"ABCA13",0,24,15,14,20,21,43,32,19,20,0,1,8,5,1,0,4
"ABCA17P",43,59,99,50,44,21,39,62,105,192,156,123,230,166,147,63,321
"ABCA2",1454,3025,5471,4834,2881,4500,5446,4672,7773,2714,108590,92640,64132,159407,79914,53482,82523
"ABCA3",823,2286,3517,4199,3230,4323,5307,2602,4432,1872,1519,1850,1845,3768,1856,1096,1895
"ABCA4",0,2,3,2,0,2,1,3,1,0,0,3,0,4,3,2,4
"ABCA5",1362,1384,3082,1842,1375,1617,2340,2134,3209,2508,2019,2272,3443,3551,3176,904,2897
"ABCA6",98,45,101,44,25,19,32,94,127,59,3207,314,434,151,437,178,456
"ABCA7",44,38,94,64,122,132,91,20,202,79,219,390,147,775,397,225,274
"ABCA8",17,30,114,28,1,5,8,142,49,11,12101,13370,11796,9451,12821,4073,7562
"ABCA9",26,13,62,12,19,19,21,29,67,27,207,36,163,56,149,46,129
"ABCA9-AS1",2,2,1,1,0,4,5,0,0,0,2,1,0,0,1,0,5
"ABCB1",10,4,9,12,19,26,43,10,23,5,8,5,11,40,12,20,43
"ABCB10",217,390,758,576,495,574,710,630,1023,708,572,583,688,996,765,354,798
"ABCB10P1",0,2,0,1,2,1,2,1,1,1,0,0,0,0,1,0,0
"ABCB10P3",0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
"ABCB10P4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB11",0,2,1,2,6,1,5,8,1,1,1,0,6,1,2,7,2
"ABCB4",25,18,36,46,69,65,35,26,94,12,2,0,9,3,1,8,2
"ABCB5",0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,5,1
"ABCB6",111,143,239,183,143,192,163,209,274,207,112,126,94,112,113,44,137
"ABCB7",267,377,706,607,539,728,728,622,990,753,587,586,586,903,739,217,586
"ABCB8",345,861,1340,1056,693,474,858,1086,1510,819,2144,1926,1559,2834,2366,907,1642
"ABCB9",35,121,190,239,143,109,233,175,249,98,387,327,344,615,357,210,402
"ABCC1",177,362,584,425,245,353,359,487,745,386,291,339,547,1863,698,447,1110
"ABCC10",325,628,967,859,600,573,656,840,1351,551,509,688,576,1105,850,394,509
"ABCC11",4,6,11,9,6,8,8,14,18,7,9,19,28,40,27,17,6
"ABCC12",0,4,23,7,0,6,20,3,4,16,10,5,88,20,8,8,15
"ABCC13",0,6,2,4,2,13,11,2,1,0,3,0,0,1,0,6,4
"ABCC2",54,33,65,27,14,30,18,49,72,51,88,90,106,37,84,37,90
"ABCC3",1,6,1,7,6,12,6,0,5,1,10,0,19,8,3,17,12
"ABCC4",75,289,435,337,529,829,662,373,699,506,15,8,52,48,25,73,50
"ABCC5",2297,2742,4709,4256,3478,3576,3139,4714,6948,3981,4853,2533,3420,4438,3422,1705,2704
"ABCC5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC6",4,2,4,1,4,3,4,5,11,2,1,1,3,4,12,0,0
"ABCC6P1",32,49,101,93,43,31,77,127,181,119,3,2,8,4,1,3,2
"ABCC6P2",0,1,0,2,1,3,0,1,1,7,2,0,1,1,0,0,1
"ABCC8",1265,1033,1331,896,421,570,607,908,1344,988,272,143,455,706,246,215,492
"ABCC9",8,11,16,25,38,51,35,15,21,21,14,2,68,31,24,34,78
"ABCD1",26,66,79,128,55,65,137,70,153,53,142,108,126,212,153,73,126
"ABCD1P2",0,2,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0
"ABCD1P3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"ABCD1P4",7,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ABCD1P5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD2",96,163,260,250,209,169,356,199,301,246,63,53,177,187,102,51,135
"ABCD3",896,1243,2158,2101,2033,2594,3626,1874,2635,1805,1328,1432,1789,2578,1748,468,929
"ABCD4",971,1349,2004,1836,1310,1423,1609,1693,2700,1597,2497,2205,1610,2955,1935,762,1317
"ABCE1",365,670,1129,979,1147,2165,1826,1032,1804,981,790,928,1244,1775,1281,338,841
"ABCF1",1188,791,1468,1029,680,1010,1332,1088,2954,819,1060,1925,1966,1721,1994,3828,3232
"ABCF2",236,381,718,716,416,586,764,565,1146,426,596,601,976,1059,815,695,894
"ABCF2P1",17,6,5,15,5,17,6,14,45,37,16,7,8,20,5,15,16
"ABCF2P2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ABCF3",400,663,992,853,639,743,954,754,1645,672,788,969,961,1322,1063,1048,1295
"ABCG1",1679,1685,3327,2585,1487,1676,2991,2109,4016,1952,3483,3756,3546,3767,2913,876,1722
"ABCG2",19,17,58,38,34,21,61,41,129,25,5,8,18,21,5,34,31
"ABCG4",64,169,232,278,212,170,241,224,306,216,19,11,46,79,22,34,33
"ABCG5",1,1,2,2,0,1,1,4,0,2,0,1,2,0,0,0,0
"ABCG8",9,9,5,9,7,12,15,6,16,3,2,2,3,2,0,4,3
"ABHD1",6,11,39,41,7,20,27,25,44,25,17,31,46,41,35,36,28
"ABHD10",304,316,733,531,409,789,874,446,877,421,409,466,554,816,524,136,402
"ABHD11",20,85,115,149,55,72,124,99,165,84,85,69,96,132,68,34,66
"ABHD11-AS1",0,0,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0
"ABHD12",539,972,1844,1548,969,1399,2079,1423,2287,894,1558,1339,1456,2517,1531,729,1056
"ABHD12B",17,21,38,27,31,12,51,25,32,15,34,61,96,102,82,15,77
"ABHD13",307,481,803,834,798,1226,1370,623,817,605,392,385,599,800,490,133,368
"ABHD14A",18,34,73,69,64,108,88,44,80,68,61,42,35,80,51,16,53
"ABHD14A-ACY1",3,0,4,1,0,2,2,2,1,0,1,0,0,2,3,0,1
"ABHD14B",12,97,122,129,52,52,106,118,178,84,127,108,123,162,118,34,115
"ABHD15",40,30,49,62,28,46,63,35,81,30,110,44,27,91,69,15,51
"ABHD15-AS1",0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,0
"ABHD16A",66,104,138,124,120,119,142,110,159,92,110,92,87,157,112,34,57
"ABHD16B",2,0,2,2,0,2,4,0,5,1,9,3,2,0,2,1,0
"ABHD17A",247,440,707,624,466,671,706,477,1014,400,1166,1749,2286,4196,1993,1060,1866
"ABHD17AP1",5,3,10,1,3,1,4,3,3,3,1,9,4,8,2,3,5
"ABHD17AP3",0,0,3,0,2,1,0,0,0,0,0,2,1,3,0,0,2
"ABHD17AP4",0,1,0,3,0,0,3,1,0,0,0,0,2,1,0,1,0
"ABHD17AP5",0,0,0,0,0,0,3,0,1,0,1,0,1,0,3,2,0
"ABHD17AP6",0,1,0,3,1,0,2,1,0,0,4,6,12,15,5,3,2
"ABHD17AP7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17AP8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17AP9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17B",185,183,372,312,217,408,643,313,759,280,1842,1372,2059,2464,1929,593,932
"ABHD17C",35,166,310,246,214,225,397,248,371,206,37,19,63,62,32,32,30
"ABHD18",161,250,511,383,371,370,484,588,1286,665,534,398,560,778,853,599,743
"ABHD2",5039,14448,24256,22472,13316,15157,28424,16076,26917,15770,689,514,1632,1606,851,784,779
"ABHD3",94,192,235,243,220,191,290,187,235,206,187,138,62,210,104,25,177
"ABHD4",171,228,413,408,174,322,501,353,436,278,253,217,257,267,201,44,115
"ABHD5",166,252,522,447,408,391,655,475,592,402,646,309,572,700,620,103,251
"ABHD6",475,492,753,806,503,523,879,712,1132,668,2031,1848,1868,3058,2262,822,1402
"ABHD8",26,51,145,140,72,120,210,105,143,81,43,35,87,120,26,33,51
"ABI1",583,987,1417,1392,1296,1487,2324,1335,2285,1331,422,442,616,795,486,389,380
"ABI1P1",0,0,1,0,0,0,1,0,1,1,0,2,0,2,0,3,1
"ABI2",1662,2330,3884,3631,3495,3827,5741,3611,5116,3054,2810,2477,3743,4619,3328,1114,2228
"ABI3",0,0,4,2,2,3,1,2,3,1,2,3,2,2,0,10,9
"ABI3BP",11,9,22,28,129,92,65,18,16,16,24,5,11,35,12,22,36
"ABL1",647,1021,2230,1718,1072,1543,2482,1683,3120,1181,2273,2510,3578,3707,3601,2015,2472
"ABL2",547,959,1660,1551,1283,1377,2078,1575,2621,1364,941,745,1357,1339,1010,469,836
"ABLIM1",698,370,890,1202,743,937,1165,451,747,518,220,102,534,399,184,249,402
"ABLIM2",168,249,450,278,209,181,314,265,425,241,634,617,832,2498,843,456,1124
"ABLIM3",827,1837,2698,1797,633,481,964,2425,3360,1982,209,216,371,625,407,267,631
"ABO",6,2,2,2,0,0,6,2,4,2,6,0,3,8,4,6,9
"ABR",1316,1465,2400,2422,1536,2430,3852,1667,3698,1352,635,560,1504,1758,596,955,1037
"ABRA",0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,4,0
"ABRACL",0,24,38,16,32,37,45,31,40,18,7,11,25,37,19,12,24
"ABRAXAS1",26,80,92,91,92,153,126,111,185,115,129,151,157,220,191,59,118
"ABRAXAS2",164,173,283,273,307,422,484,257,558,252,229,167,305,323,280,190,300
"ABT1",121,105,264,160,131,196,186,197,236,103,113,108,207,180,108,78,82
"ABT1P1",0,0,1,0,0,1,0,0,3,0,0,0,2,0,0,0,0
"ABTB1",466,211,197,356,89,218,173,282,380,193,1247,1262,919,1673,934,291,497
"ABTB2",350,264,511,484,137,361,511,339,1286,320,583,748,1221,1374,772,273,410
"AC000032.1",0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0
"AC000035.1",2,10,20,16,5,14,18,13,28,7,11,2,13,2,4,6,14
"AC000036.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC000041.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"AC000041.2",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"AC000058.1",0,10,27,12,16,10,21,21,35,31,17,8,34,26,21,9,14
"AC000061.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC000067.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC000068.1",61,46,44,50,32,44,60,34,58,74,36,18,23,26,25,2,25
"AC000068.2",0,0,3,3,3,4,1,5,8,11,4,1,7,7,3,0,2
"AC000068.3",0,7,7,2,5,6,2,2,6,11,7,3,2,5,3,0,4
"AC000077.1",0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0
"AC000078.1",0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0
"AC000081.1",2,2,0,1,2,1,0,0,7,3,3,2,2,10,3,0,1
"AC000089.1",0,2,2,1,1,0,0,0,1,0,0,0,2,2,3,0,0
"AC000093.1",35,178,273,235,265,356,219,213,364,155,7,5,14,15,12,22,17
"AC000095.1",20,39,28,26,3,27,24,30,43,62,3,6,7,1,6,0,2
"AC000095.2",75,13,27,34,78,53,26,33,58,38,26,3,86,23,29,35,44
"AC000099.1",0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0
"AC000111.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC000111.2",0,0,0,0,0,0,0,0,0,0,4,15,13,19,20,3,9
"AC000120.1",20,44,81,47,54,34,31,73,101,78,124,101,90,160,153,41,54
"AC000123.1",2,1,2,0,0,0,0,0,1,0,1,0,1,1,0,0,0
"AC000123.2",16,27,45,50,72,84,98,56,32,49,93,82,90,133,85,9,67
"AC000123.3",118,211,361,302,351,396,289,379,405,337,682,419,487,841,471,65,260
"AC000124.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC000362.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AC000367.1",28,22,45,48,56,23,50,47,51,9,29,26,50,149,102,13,43
"AC000372.1",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC000374.1",0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0
"AC000403.1",0,0,5,7,4,10,15,6,8,3,6,8,5,9,1,5,5
"AC001226.1",4,8,9,4,1,6,3,9,9,10,19,9,5,17,17,0,4
"AC001226.2",5,5,5,18,17,9,13,22,11,14,36,29,30,43,40,5,29
"AC002044.1",5,3,9,3,5,0,4,2,15,1,0,1,0,0,3,0,0
"AC002044.2",15,26,55,24,21,12,9,43,58,18,6,6,5,10,9,8,5
"AC002044.3",5,12,16,10,18,4,14,10,22,13,1,0,2,0,3,0,1
"AC002056.1",1,1,8,0,1,2,0,0,6,3,1,1,3,7,2,5,4
"AC002056.2",0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0
"AC002059.1",3,0,3,1,3,1,3,2,4,1,9,6,10,8,5,6,9
"AC002064.1",0,3,4,1,3,2,4,1,5,3,2,0,5,0,1,1,1
"AC002064.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002064.3",0,0,1,1,1,3,3,1,0,1,0,0,0,0,0,0,0
"AC002066.1",7,2,2,2,3,0,0,1,0,0,0,0,0,4,1,0,0
"AC002069.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC002069.2",0,3,4,2,4,2,6,8,1,1,2,3,1,2,4,0,0
"AC002070.1",0,5,2,4,3,0,0,1,21,3,4,0,2,4,2,1,2
"AC002074.1",0,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,1
"AC002075.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC002075.2",0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0
"AC002076.1",0,0,0,1,0,1,0,0,2,0,0,0,0,2,0,0,0
"AC002076.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002090.1",114,124,214,154,165,132,93,250,319,264,11,0,33,3,9,8,7
"AC002091.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"AC002091.2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC002094.1",0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"AC002094.2",0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
"AC002094.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002094.4",32,56,73,46,57,41,68,62,113,55,28,30,33,42,33,13,27
"AC002094.5",0,1,2,2,1,0,0,3,0,2,1,0,0,0,3,0,0
"AC002101.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002115.1",0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
"AC002116.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"AC002116.2",1,3,2,3,4,6,2,2,7,4,12,6,6,11,5,2,6
"AC002127.1",0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1
"AC002127.2",0,0,4,0,4,9,2,1,5,2,0,0,4,1,1,1,0
"AC002128.1",1,1,5,4,0,1,1,3,2,3,10,7,5,3,3,0,7
"AC002128.2",1,1,5,0,1,0,0,1,0,1,2,2,0,0,0,0,4
"AC002306.1",0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0
"AC002310.1",64,41,55,63,45,66,79,91,111,83,183,147,167,169,174,61,229
"AC002310.2",7,4,21,8,3,8,5,12,17,6,25,32,17,30,26,17,21
"AC002310.3",0,3,0,0,0,0,4,0,0,0,1,1,0,4,0,0,2
"AC002310.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002310.5",0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,0,0
"AC002310.6",1,4,6,5,1,2,2,8,10,4,3,1,4,4,2,1,0
"AC002347.1",0,3,10,7,7,3,1,7,10,7,8,7,10,7,10,0,2
"AC002347.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002350.1",1,3,8,1,3,1,2,10,4,3,1,7,4,2,5,0,5
"AC002351.1",0,0,0,1,1,1,1,0,2,0,0,0,1,4,0,0,3
"AC002366.1",9,17,25,27,1,9,10,27,29,19,0,0,1,0,1,2,3
"AC002367.1",0,1,0,2,0,0,0,0,0,0,2,5,0,6,1,0,1
"AC002368.1",0,1,6,0,2,0,0,1,1,1,0,0,0,1,0,2,0
"AC002375.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002378.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002381.1",0,0,0,0,0,0,0,0,3,1,5,0,0,1,0,0,0
"AC002383.1",0,0,3,4,1,2,2,0,1,4,1,1,5,0,0,0,2
"AC002384.1",0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"AC002386.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002398.1",0,0,3,3,1,3,3,2,6,5,5,2,5,5,0,1,2
"AC002398.2",2,3,12,17,20,5,6,19,24,11,22,28,16,25,15,15,19
"AC002400.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002401.1",0,2,0,2,0,3,2,3,6,2,4,1,2,2,3,1,1
"AC002401.2",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"AC002401.3",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002401.4",0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,3
"AC002407.1",7,5,11,13,10,13,8,11,10,6,0,3,2,5,0,4,0
"AC002428.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002428.2",1,2,4,1,0,0,1,1,0,0,44,4,2,7,8,2,6
"AC002429.1",5,14,11,16,10,10,22,10,17,26,8,15,7,27,18,1,4
"AC002429.2",1,4,8,3,20,4,6,9,5,11,5,9,20,18,9,17,16
"AC002451.1",3,0,0,0,0,2,2,1,3,8,21,6,18,8,2,33,18
"AC002451.2",1,1,2,2,3,0,0,0,0,4,0,0,0,2,0,2,2
"AC002454.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AC002456.1",4,5,5,10,12,2,16,11,12,4,0,0,2,1,1,3,0
"AC002456.2",0,0,3,3,1,0,0,2,1,0,0,0,0,0,0,0,0
"AC002460.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002463.1",1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
"AC002464.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AC002465.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002467.1",4,9,12,15,9,13,22,11,19,10,29,49,33,74,32,19,32
"AC002470.1",0,7,0,9,0,3,4,5,4,2,5,4,2,10,1,5,1
"AC002470.2",0,1,0,0,0,0,0,1,0,1,2,0,0,0,5,1,3
"AC002472.1",0,0,0,0,0,3,0,0,4,2,3,3,6,6,0,7,15
"AC002472.2",3,5,7,3,2,10,6,15,6,4,5,5,8,3,8,0,6
"AC002472.3",1,1,1,0,0,2,0,1,0,0,0,2,1,0,0,0,2
"AC002472.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002480.1",0,2,11,0,1,1,4,6,4,7,1,1,0,3,0,0,0
"AC002480.2",34,151,728,360,332,105,448,163,337,298,3,0,27,18,3,32,5
"AC002480.3",1,13,71,33,40,12,38,10,16,12,0,0,2,3,0,0,0
"AC002480.4",0,5,13,4,1,11,0,1,4,3,7,0,0,0,5,4,1
"AC002486.1",0,0,0,0,2,0,3,0,13,2,0,0,0,0,0,0,0
"AC002486.2",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002487.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002504.1",0,2,0,1,1,1,3,0,6,0,0,0,0,4,0,1,0
"AC002511.1",6,0,1,1,0,1,3,0,9,0,12,8,5,10,12,7,3
"AC002511.2",0,0,0,0,0,2,1,0,2,1,3,1,1,1,2,2,0
"AC002511.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002519.1",5,9,21,9,9,3,0,8,5,8,3,10,11,7,5,0,6
"AC002519.2",0,1,2,1,3,0,6,0,5,3,3,4,2,3,0,0,2
"AC002524.1",0,2,1,0,0,2,4,0,1,0,0,2,1,3,1,1,1
"AC002525.1",0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,2
"AC002540.1",3,2,6,4,1,0,4,4,10,3,12,4,4,10,17,2,7
"AC002542.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002543.1",0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"AC002545.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC002546.1",0,0,0,1,1,6,2,0,0,0,0,0,0,3,0,0,0
"AC002550.1",0,0,9,1,1,5,3,2,2,0,8,4,8,12,13,4,4
"AC002550.2",11,8,30,14,8,15,10,14,25,16,21,22,22,8,22,14,6
"AC002551.1",4,7,21,8,10,1,3,4,9,7,10,10,5,17,16,2,3
"AC002553.1",17,7,27,15,22,15,10,43,52,45,30,15,23,29,59,8,30
"AC002553.2",9,18,36,16,15,21,20,40,49,25,19,9,17,15,50,2,8
"AC002558.1",2,29,75,68,60,16,20,93,114,73,95,55,80,92,115,41,97
"AC002558.2",3,2,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0
"AC002558.3",64,24,68,33,34,13,20,58,108,59,41,44,42,58,66,33,43
"AC002563.1",0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
"AC002984.1",0,3,0,1,1,2,1,1,4,6,3,4,1,8,7,1,4
"AC002985.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002996.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003001.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003001.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003002.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003002.2",10,18,28,13,15,11,20,30,17,21,18,9,22,27,25,6,14
"AC003002.3",6,32,41,35,12,9,12,30,12,14,25,19,25,34,18,3,11
"AC003005.1",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"AC003005.2",3,16,30,3,9,6,17,24,60,17,4,1,8,1,7,5,13
"AC003006.1",0,0,0,2,0,0,0,2,0,0,0,0,3,0,1,0,0
"AC003009.1",0,1,0,2,0,2,0,1,2,3,0,0,0,0,0,0,0
"AC003035.1",0,1,1,2,1,2,6,0,9,1,2,2,3,6,3,2,7
"AC003035.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"AC003043.1",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"AC003043.2",0,1,4,3,0,4,0,0,2,0,0,1,0,5,8,0,3
"AC003045.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003070.1",3,2,2,3,3,0,1,0,3,0,1,0,0,0,0,0,0
"AC003070.2",0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0
"AC003071.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
