baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,20.4288629641528,3.55986164664022,0.311998087461449,11.4098829117986,3.73231378405199e-30,8.65554906561064e-29
A1BG-AS1,138.599017075504,4.62077396401956,0.242922349293421,19.0216090757389,1.12962934677063e-80,2.51666356735872e-78
A2ML1,29.9053411186821,-2.23039402457284,0.494260274480622,-4.51259010632926,6.40407132097651e-06,2.76250491034456e-05
A2ML1-AS1,5.2296964459047,-1.62336369418423,0.609552940376864,-2.66320377879001,0.00774005256039522,0.0191413510296224
A2MP1,13.6750417065296,2.16255137156273,0.434700380249655,4.97480901746796,6.53119990337734e-07,3.20404636481303e-06
AAAS,564.859014534708,0.667849386668833,0.158456718051302,4.21471171990707,2.5009743989081e-05,9.88498668985344e-05
AACS,818.086774121343,0.622526464123672,0.185866736274292,3.34931616384,0.000810112956261484,0.00247599279964881
AADAT,527.879950611372,-0.674511848004024,0.143928084972733,-4.686450515421,2.7798399241617e-06,1.26012873827504e-05
AAED1,34.155281297846,1.01774583801724,0.247335827142254,4.11483386687805,3.87458374551762e-05,0.000148760155799296
AAK1,4225.83342037722,0.402146831664541,0.111564546423681,3.6046113622632,0.000312620381786782,0.00103549885207163
AAMDC,103.200607511818,0.985441526159928,0.185790187325324,5.30405582957076,1.13257649293498e-07,6.05090987064767e-07
AARS,2386.37699566788,0.663792707652077,0.162706826097189,4.07968567499175,4.50966372997059e-05,0.000171293410466194
AARSD1,91.182320266526,-0.616677309378398,0.166451553967881,-3.70484561229986,0.000211519525429991,0.000720766748324609
AASDH,652.987558512399,-0.381249433322098,0.156026020393085,-2.443499054591,0.014545607707939,0.0334542591032603
AASS,2551.57731969917,0.482215721810392,0.149366248858604,3.22841154206716,0.00124479750582878,0.00367284505119074
AATF,1613.57775345701,2.57608572018535,0.397164269507918,6.48619706746805,8.80300101796806e-11,6.4287300703334e-10
AATK,12192.4639570341,3.71394843043329,0.239119070768641,15.5317951784227,2.11378570037998e-54,1.4445499086973e-52
AB015752.1,46.558966543376,2.7578382431755,0.254658887145643,10.8295385803608,2.49408926214398e-27,5.02395870779551e-26
ABALON,21.2781614456249,2.70101997436705,0.331405645001258,8.15019301906216,3.63343861087242e-16,3.95770050515432e-15
ABAT,2234.5199851595,-2.01757265590782,0.154080374949025,-13.0942870341229,3.5499205158023e-39,1.25138442823925e-37
ABCA1,2147.9449213045,-1.8865315852244,0.263766566294139,-7.15227715070088,8.53500231375264e-13,7.3586869793856e-12
ABCA11P,52.4106680106236,-0.861162464058972,0.25502622248773,-3.37676045882068,0.000733448942040499,0.00226256777855713
ABCA12,9.33900660072742,-1.83095126186443,0.475531097823632,-3.85032917982476,0.000117959177381417,0.000419134480566953
ABCA13,12.4116796364421,-3.00071965959333,0.586927335287625,-5.11259142176914,3.17769111819832e-07,1.61754884673193e-06
ABCA17P,109.315353624685,1.25588309182796,0.35776282300401,3.5103789747709,0.000447468451350986,0.00143991340464586
